EGS,depth,abundance
1537067.175,4,0
2106631.443,4,0.330751
2295757.172,4,0
2416182.504,4,0.011983
2595850.768,4,0.094896
2633157.895,4,0
2637539.438,4,0
2975438.931,4,0
1907085.894,4,0
2680535.994,4,0
2798252.648,4,0
3082049.76,4,0
1874222.345,4,0.044856
2454889.23,4,0
2466240.782,4,0
1446709.698,4,2.924932
1457916.623,4,3.125152
1493225.235,4,1.221475
1581636.647,4,0.686699
1651796.147,4,5.191264
1663276.381,4,3.278327
1752110.801,4,2.418064
1829129.437,4,0.125299
1890539.455,4,0
1918532.154,4,0
1995929.298,4,0
2016216.797,4,0
2016801.827,4,0.039591
2222105.146,4,0
2247005.988,4,0
2251232.755,4,0
2258179.322,4,0.030423
2264096.188,4,0.031986
2268898.508,4,0
2330684.388,4,0
2358247.093,4,0
2359412.944,4,0
2410523.297,4,0
2481800.545,4,0
2553573.122,4,0.142916
2582196.279,4,0
2589108.578,4,0
2614176.484,4,0
2620414.857,4,0
2635379.029,4,0
2662387.515,4,0.393468
2676894.594,4,0
2694308.061,4,0
2938393.652,4,0.025318
3054516.029,4,0
3230981.729,4,0
3661459.281,4,0
1340314.994,4,0.518467
1379677.467,4,2.450383
1430240.216,4,0.989981
1439155.484,4,0.146717
1456472.573,4,0.690684
1495621.563,4,6.10009
1507545.764,4,3.350086
1515892.788,4,1.317404
1552783.529,4,1.288931
1561506.06,4,1.46252
1564638.398,4,1.007686
1583286.745,4,4.46596
1618234.364,4,0.49904
1637737.763,4,6.35104
1697468.372,4,3.63432
1966410.51,4,10.331757
1110638.695,4,12.833427
1131377.483,4,1.934683
1256488.117,4,16.690356
1275744.522,4,3.156745
1304114.484,4,7.798713
1308389.977,4,1.07221
1409981.56,4,0.837155
1515259.641,4,8.213073
1527391.442,4,27.095495
1633574.463,4,6.136792
2303081.183,4,0
2458581.75,4,0
2629707.237,4,0.219616
2839279.867,4,0
2907955.197,4,0
3143504.787,4,0
2084003.218,4,0
2419995.863,4,0.029383
2510845.85,4,0
2688466.89,4,0
2813370.45,4,0.036448
2983519.588,4,0
3086524.792,4,0
3367044.82,4,0
3520150.167,4,0
3862329.886,4,0.025611
1370343.546,4,0.273998
1413077.037,4,5.920351
1441197.664,4,6.494865
1504514.989,4,1.11816
1512077.992,4,6.313311
1513255.912,4,3.621124
1527512.248,4,4.000113
1539874.919,4,2.450958
1560974.768,4,4.257082
1619911.049,4,0.358465
1711541.188,4,0
1734198.486,4,0.285359
1737315.505,4,0.263088
1774907.095,4,1.416535
1795368.002,4,1.425041
2072896.291,4,1.171378
2083622.631,4,2.270609
2150638.677,4,0.65568
2216506.247,4,0.056386
2650679.612,4,1.903367
1408712.462,4,1.194128
1490551.003,4,2.334422
1567077.929,4,3.074123
1608316.687,4,0.765042
1662833.64,4,0
1781415.112,4,0.402294
1810680.456,4,0.790621
1866097.773,4,0.053317
1887408.638,4,0.776446
1983984.078,4,0.069691
2041929.073,4,0
2059797.991,4,0.017109
2111146.864,4,0
2137777.778,4,0.078606
2157169.832,4,0.015988
2158523.182,4,0
2192810.292,4,0.48657
2215459.783,4,0
2295003.828,4,0
2323059.43,4,0.056687
2337368.032,4,0.055612
2387688.303,4,0.0963
2389851.605,4,0
2463304.553,4,0
2476542.361,4,0
2676454.576,4,0
2838486.131,4,0.018281
2887285.023,4,0
1666445.58,4,0.491211
1708150.616,4,0.434426
1774171.659,4,0.22055
