Deep	group	abundance	SAR202
SRF	quadrant1	0.843855693	gsSAR202
SRF	quadrant1	0.970480109	gsSAR202
SRF	quadrant1	0.905726392	gsSAR202
SRF	quadrant1	0.952355209	gsSAR202
SRF	quadrant1	0.94564079	gsSAR202
SRF	quadrant1	0.961856194	gsSAR202
SRF	quadrant1	0.924577232	gsSAR202
SRF	quadrant1	0.912700713	gsSAR202
SRF	quadrant1	0.890501527	gsSAR202
SRF	quadrant1	0.885940207	gsSAR202
SRF	quadrant1	0.903725912	gsSAR202
SRF	quadrant1	0.907585054	gsSAR202
SRF	quadrant1	0.920585159	gsSAR202
SRF	quadrant1	0.908292934	gsSAR202
SRF	quadrant1	0.976997463	gsSAR202
SRF	quadrant1	0.90555508	gsSAR202
SRF	quadrant1	0.922923398	gsSAR202
SRF	quadrant1	0.948139147	gsSAR202
SRF	quadrant1	0.934137325	gsSAR202
SRF	quadrant1	0.916890961	gsSAR202
SRF	quadrant1	0.857949773	gsSAR202
SRF	quadrant1	0.852396271	gsSAR202
SRF	quadrant1	0.917913299	gsSAR202
SRF	quadrant1	0.920225273	gsSAR202
SRF	quadrant1	0.929530034	gsSAR202
SRF	other	0.156144307	non-gsSAR202
SRF	other	0.029519891	non-gsSAR202
SRF	other	0.094273608	non-gsSAR202
SRF	other	0.047644791	non-gsSAR202
SRF	other	0.05435921	non-gsSAR202
SRF	other	0.038143806	non-gsSAR202
SRF	other	0.075422768	non-gsSAR202
SRF	other	0.087299287	non-gsSAR202
SRF	other	0.109498473	non-gsSAR202
SRF	other	0.114059793	non-gsSAR202
SRF	other	0.096274088	non-gsSAR202
SRF	other	0.092414946	non-gsSAR202
SRF	other	0.079414841	non-gsSAR202
SRF	other	0.091707066	non-gsSAR202
SRF	other	0.023002537	non-gsSAR202
SRF	other	0.09444492	non-gsSAR202
SRF	other	0.077076602	non-gsSAR202
SRF	other	0.051860853	non-gsSAR202
SRF	other	0.065862675	non-gsSAR202
SRF	other	0.083109039	non-gsSAR202
SRF	other	0.142050227	non-gsSAR202
SRF	other	0.147603729	non-gsSAR202
SRF	other	0.082086701	non-gsSAR202
SRF	other	0.079774727	non-gsSAR202
SRF	other	0.070469966	non-gsSAR202
DCM	quadrant1	0.972630744	gsSAR202
DCM	quadrant1	0.8906545	gsSAR202
DCM	quadrant1	0.88195514	gsSAR202
DCM	quadrant1	0.9558564	gsSAR202
DCM	quadrant1	0.849832519	gsSAR202
DCM	quadrant1	0.782818181	gsSAR202
DCM	quadrant1	0.891241572	gsSAR202
DCM	quadrant1	0.973700016	gsSAR202
DCM	quadrant1	0.916784588	gsSAR202
DCM	quadrant1	0.935637151	gsSAR202
DCM	quadrant1	0.912026355	gsSAR202
DCM	quadrant1	0.920115328	gsSAR202
DCM	quadrant1	0.979552514	gsSAR202
