id	group1c	group1b	group1a_S	group2a	group2b_S	group3b_S	group6_S	area	group
1	3283.233382	1314.041856	385.458786	376.304667	62.38054	13.493676	15.634374	(SPO) South Pacific Ocean	SRF
2	603.835133	551.175514	196.211751	319.736786	62.260476	20.854637	21.038783	(SPO) South Pacific Ocean	SRF
3	521.765076	525.771853	219.322835	336.944029	60.482413	25.116705	19.50805	(SPO) South Pacific Ocean	SRF
4	501.457136	431.531911	201.583405	323.938524	64.576581	14.637694	24.226664	(SPO) South Pacific Ocean	SRF
5	308.719293	292.176138	131.498956	242.967411	37.31631	27.320956	11.715716	(SPO) South Pacific Ocean	SRF
6	87.712337	50.422716	24.068879	46.315638	4.5148185	1.107495	2.959333	(SO) Southern Ocean	SRF
7	953.910816	2149.270462	364.054438	709.250636	310.476906	559.778908	442.3071865	(NPO) North Pacific Ocean 	SRF
8	844.1389925	1741.274461	260.99472	980.663061	96.68135	604.916888	665.314275	(NPO) North Pacific Ocean 	SRF
9	1159.849751	1721.915714	524.098226	431.86855	457.329986	147.848921	253.704953	(NPO) North Pacific Ocean 	SRF
10	581.674226	1317.635163	191.274445	814.557231	273.629554	943.913618	449.873527	(NPO) North Pacific Ocean 	SRF
11	837.461997	1479.651254	222.96156	613.4799675	172.260307	285.143359	348.840196	(NPO) North Pacific Ocean 	SRF
12	765.382409	975.329122	187.4937595	363.82172	138.838892	223.047019	94.609173	(NPO) North Pacific Ocean 	SRF
13	1755.710245	405.215316	170.252397	294.558871	42.267935	16.991963	22.770345	(NPO) North Pacific Ocean 	SRF
14	1186.536094	330.012256	142.64622	238.920915	46.726997	14.32083	12.390764	(NPO) North Pacific Ocean 	SRF
15	826.118271	308.4981	154.464302	262.143447	42.910309	17.534122	16.502118	(NPO) North Pacific Ocean 	SRF
16	608.373859	285.34685	118.513163	237.14423	37.785699	13.101547	16.92994	(NPO) North Pacific Ocean 	SRF
17	650.858841	346.053755	166.447181	263.782751	38.000543	15.471274	19.571527	(NPO) North Pacific Ocean	SRF
18	761.994446	1378.893638	280.4081465	312.4001705	43.026854	40.65016	53.615002	(SAO) South Atlantic Ocean	SRF
19	526.32731	922.355737	156.447241	420.028187	132.741671	212.1180525	146.716986	(SAO) South Atlantic Ocean	SRF
20	1022.017568	558.788362	330.528133	148.937639	40.226129	8.754672	10.398512	(SAO) South Atlantic Ocean	SRF
21	385.079564	401.135515	112.009253	250.3429295	54.565904	27.615661	29.47306	(SAO) South Atlantic Ocean	SRF
22	406.793226	294.936767	86.718645	106.340298	45.996287	7.829384	4.559287	(SAO) South Atlantic Ocean	SRF
23	186.215948	95.541913	39.240558	94.682328	14.081112	7.150875	3.230836	(NAO) North Atlantic Ocean	SRF
24	1125.020024	3191.279219	921.6137	486.702918	1066.928892	401.287462	228.207274	(IO) Indian Ocean 	SRF
25	3019.950066	1035.261236	221.760185	250.734366	62.013012	25.129943	28.135164	(IO) Indian Ocean 	SRF
26	697.483021	2829.229958	335.275393	864.795676	1694.128319	476.367215	1855.283421	(SPO) South Pacific Ocean	DCM
27	2705.737975	3640.840695	249.365787	989.233061	269.094	154.5316185	516.8464365	(SPO) South Pacific Ocean	DCM
28	1263.492546	3158.865754	1100.364572	1084.847157	1130.190989	25.378886	459.376111	(SPO) South Pacific Ocean	DCM
29	1148.393016	2866.492337	219.140885	968.210697	50.955243	18.834408	34.095947	(SPO) South Pacific Ocean	DCM
30	606.916856	1201.629474	215.103158	287.785186	76.491162	16.572031	16.101062	(SPO) South Pacific Ocean	DCM
31	535.561541	718.628672	172.066247	411.81909	53.294692	40.981215	26.56333	(SPO) South Pacific Ocean	DCM
32	590.760458	819.0907835	163.905617	290.3602585	59.842497	15.842177	14.800437	(SPO) South Pacific Ocean	DCM
33	86.550274	54.502115	43.596849	47.200752	6.645728	2.358881	2.279854	(SO) Southern Ocean	DCM
34	1182.155392	2233.916798	598.032031	602.254621	779.93339	314.74091	357.490923	(NPO) North Pacific Ocean 	DCM
35	1742.397091	2062.514853	105.531357	539.90971	40.31992	45.335979	50.245544	(NPO) North Pacific Ocean 	DCM
36	1364.814837	1816.829032	185.411189	688.699863	39.3383385	22.44208	22.745217	(NPO) North Pacific Ocean 	DCM
37	797.865675	1102.649854	176.377163	431.09744	173.946094	287.882479	136.97923	(NPO) North Pacific Ocean 	DCM
38	706.775316	1490.440189	124.81798	148.1182085	23.774397	14.286852	8.829435	(NPO) North Pacific Ocean 	DCM
39	59.976434	68.594864	47.73483	229.5198545	2.746334	4.345612	2.01074	(NPO) North Pacific Ocean 	DCM
40	580.083043	353.590518	155.137271	238.983469	40.451134	14.131384	20.736196	(NPO) North Pacific Ocean	DCM
41	388.436644	1635.656602	387.47037	175.34408	1762.555254	958.171415	992.244905	(SAO) South Atlantic Ocean	DCM
42	781.636187	1558.036742	155.672207	707.242472	211.952048	1336.586185	535.852282	(SAO) South Atlantic Ocean	DCM
43	592.802318	1147.586681	166.486173	578.062507	181.229266	279.497476	221.277733	(SAO) South Atlantic Ocean	DCM
44	937.510645	1508.386701	67.672992	115.281175	28.059775	12.149085	9.900491	(NAO) North Atlantic Ocean	DCM
45	998.42893	2777.329568	818.791882	440.452103	1063.942353	482.608973	214.6668005	(IO) Indian Ocean 	DCM
46	628.9097125	1383.410888	394.098897	272.036339	958.197537	658.134165	211.894663	(IO) Indian Ocean 	DCM
